id,name,chapter,subsection,tags,suji,xingwei,guijing,gongxiao,zhuzhi,yongfa,jinji,yaoli,jianjie,file
11,车前子,利水渗湿药,利尿通淋药,,清热利尿通淋、渗湿止泻为要,甘，微寒,肝、肾、肺、小肠经,清热利尿通淋；渗湿止泻；明目；祛痰,热淋涩痛，水肿胀满；暑湿泄泻；目赤肿痛，目暗昏花；痰热咳嗽,煎服，9～15g，包煎,肾虚精滑者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/车前子.md
12,通草,利水渗湿药,利尿通淋药,,利尿通淋、通气下乳为要,甘、淡，微寒,肺、胃经,利尿通淋；通气下乳,淋证，水肿；产后乳汁不下,煎服，3～5g,孕妇慎用；气阴两虚、内无湿热者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/通草.md
13,冬瓜皮,利水渗湿药,利水消肿药,,利水消肿、清热解暑为要,甘，凉,脾、小肠经,利水消肿；清热解暑,水肿胀满，小便不利；暑热口渴，小便短赤,煎服，9～30g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/冬瓜皮.md
14,泽泻,利水渗湿药,利水消肿药,,利水渗湿、泄热为要,甘、淡，寒,肾、膀胱经,利水渗湿；泄热；化浊降脂,水肿胀满，小便不利，泄泻尿少；痰饮眩晕；热淋涩痛，高脂血症,煎服，6～10g,肾虚精滑无湿热者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/泽泻.md
15,猪苓,利水渗湿药,利水消肿药,,利水渗湿为要,甘、淡，平,肾、膀胱经,利水渗湿,水肿，小便不利，泄泻，淋浊，带下,煎服，6～12g,无水湿者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/猪苓.md
16,玉米须,利水渗湿药,利水消肿药,,利水消肿、利湿退黄为要,甘，平,膀胱、肝、胆经,利水消肿；利湿退黄,水肿，小便不利，淋证；黄疸,煎服，15～30g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/玉米须.md
17,茯苓,利水渗湿药,利水消肿药,,利水渗湿、健脾为要,甘、淡，平,心、肺、脾、肾经,利水渗湿；健脾；宁心安神,水肿尿少；痰饮眩悸；脾虚食少，便溏泄泻；心神不安，惊悸失眠,煎服，10～15g,虚寒精滑者忌服,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/茯苓.md
18,茯苓皮,利水渗湿药,利水消肿药,,利水消肿为要,甘、淡，平,肾、膀胱经,利水消肿,水肿，小便不利,煎服，15～30g,虚寒精滑者忌服,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/茯苓皮.md
19,葫芦,利水渗湿药,利水消肿药,,利水消肿为要,甘，平,肺、小肠经,利水消肿,水肿，腹水，脚气浮肿,煎服，15～30g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/葫芦.md
20,薏苡仁,利水渗湿药,利水消肿药,,利水渗湿、健脾止泻为要,甘、淡，凉,脾、胃、肺经,利水渗湿；健脾止泻；除痹；排脓；解毒散结,水肿，脚气；脾虚泄泻；风湿痹痛，筋脉拘挛；肺痈，肠痈；赘疣、癌肿,煎服，9～30g；清利湿热宜生用，健脾止泻宜炒用,孕妇慎用；津液不足者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/薏苡仁.md
21,香加皮,利水渗湿药,利水消肿药,,利水消肿、祛风湿为要,辛、苦，温；有毒,肝、肾、心经,利水消肿；祛风湿；强筋骨,水肿，小便不利；风湿痹痛，腰膝酸软,煎服，3～6g,有毒，不宜过量久服；孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利水消肿药/香加皮.md
22,垂盆草,利水渗湿药,利湿退黄药,,利湿退黄、清热解毒为要,甘、淡，凉,肝、胆、小肠经,利湿退黄；清热解毒,湿热黄疸；痈肿疮疡，毒蛇咬伤；水火烫伤,煎服，15～30g；外用适量,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利湿退黄药/垂盆草.md
23,茵陈,利水渗湿药,利湿退黄药,,清利湿热、利胆退黄为要,苦、辛，微寒,脾、胃、肝、胆经,清利湿热；利胆退黄,黄疸尿少；湿温暑湿；湿疮瘙痒,煎服，6～15g；外用适量,蓄血发黄及血虚萎黄者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利湿退黄药/茵陈.md
24,虎杖,利水渗湿药,利湿退黄药,,利湿退黄、清热解毒为要,微苦，微寒,肝、胆、肺经,利湿退黄；清热解毒；散瘀止痛；止咳化痰,湿热黄疸，淋浊带下；水火烫伤，痈肿疮毒；经闭癥瘕，跌打损伤；肺热咳嗽,煎服，9～15g,孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利湿退黄药/虎杖.md
25,金钱草,利水渗湿药,利湿退黄药,,利湿退黄、利尿通淋为要,甘、咸，微寒,肝、胆、肾、膀胱经,利湿退黄；利尿通淋；解毒消肿,湿热黄疸；石淋，热淋；痈肿疔疮，毒蛇咬伤,煎服，15～60g；外用适量,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利湿退黄药/金钱草.md
26,鸡骨草,利水渗湿药,利湿退黄药,,利湿退黄、清热解毒为要,甘、微苦，凉,肝、胃经,利湿退黄；清热解毒；疏肝止痛,湿热黄疸；胁肋不舒，胃脘疼痛,煎服，15～30g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利湿退黄药/鸡骨草.md
27,佩兰,化湿药,,,芳香化湿、醒脾开胃为要,辛，平,脾、胃、肺经,芳香化湿；醒脾开胃；发表解暑,湿阻中焦，脘痞呕恶；口中甜腻、口臭；暑湿表证,煎服，3～10g；鲜品加倍,阴虚血燥者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化湿药/佩兰.md
28,厚朴,化湿药,,,燥湿消痰、下气除满为要,苦、辛，温,脾、胃、肺、大肠经,燥湿消痰；下气除满,湿阻中焦，脘腹胀满；食积气滞，腹胀便秘；痰饮喘咳,煎服，3～10g,气虚津亏者慎用；孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化湿药/厚朴.md
29,广藿香,化湿药,,,芳香化浊、和中止呕为要,辛，微温,脾、胃、肺经,芳香化浊；和中止呕；发表解暑,湿浊中阻，脘痞呕吐；暑湿表证，湿温初起；呕吐,煎服，3～10g；鲜品加倍,阴虚火旺、胃热呕吐者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化湿药/广藿香.md
30,砂仁,化湿药,,,化湿开胃、温脾止泻为要,辛，温,脾、胃、肾经,化湿开胃；温脾止泻；理气安胎,湿浊中阻，脘痞不饥；脾胃虚寒，呕吐泄泻；妊娠恶阻，胎动不安,煎服，3～6g，后下,阴虚血燥者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化湿药/砂仁.md
31,苍术,化湿药,,,燥湿健脾、祛风散寒为要,辛、苦，温,脾、胃、肝经,燥湿健脾；祛风散寒；明目,湿阻中焦，脘腹胀满，泄泻；风湿痹证；风寒夹湿表证；夜盲、目昏,煎服，3～9g,阴虚内热、气虚多汗者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化湿药/苍术.md
32,草果,化湿药,,,燥湿温中、除痰截疟为要,辛，温,脾、胃经,燥湿温中；除痰截疟,寒湿中阻，脘腹胀痛，呕吐泄泻；疟疾寒热,煎服，3～6g,阴虚血燥者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化湿药/草果.md
33,草豆蔻,化湿药,,,燥湿行气、温中止呕为要,辛，温,脾、胃经,燥湿行气；温中止呕,寒湿中阻，脘腹胀满冷痛；呕吐泄泻,煎服，3～6g，后下,阴虚血燥者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化湿药/草豆蔻.md
34,豆蔻,化湿药,,,化湿行气、温中止呕为要,辛，温,肺、脾、胃经,化湿行气；温中止呕；开胃消食,湿浊中阻，不思饮食；湿温初起，胸闷不饥；寒湿呕逆,煎服，3～6g，后下,阴虚血燥者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化湿药/豆蔻.md
35,枇杷叶,化痰止咳平喘药,止咳平喘药,,清肺止咳、降逆止呕为要,苦，微寒,肺、胃经,清肺止咳；降逆止呕,肺热咳嗽，气逆喘急；胃热呕逆，烦热口渴,煎服，6～10g；止咳宜蜜炙，止呕宜生用,胃寒呕吐、寒咳者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/枇杷叶.md
36,桑白皮,化痰止咳平喘药,止咳平喘药,,泻肺平喘、利水消肿为要,甘，寒,肺经,泻肺平喘；利水消肿,肺热喘咳；水肿胀满，小便不利,煎服，6～12g；泻肺利水宜生用，肺虚咳嗽宜蜜炙,肺虚无火、风寒咳嗽者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/桑白皮.md
37,款冬花,化痰止咳平喘药,止咳平喘药,"[中药学, 止咳平喘药]",润肺下气、止咳化痰为要,辛、微苦，温,肺经,润肺下气；止咳化痰,新久咳嗽，喘咳痰多，劳嗽咯血,煎服，5～10g；蜜炙用增强润肺止咳,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/款冬花.md
38,洋金花,化痰止咳平喘药,止咳平喘药,,平喘止咳、解痉定痛为要,辛，温；有毒,肺、肝经,平喘止咳；解痉定痛,哮喘咳嗽；脘腹冷痛，风湿痹痛，小儿慢惊,内服入丸散，0.3～0.6g；外用适量,有毒，青光眼、高血压、心动过速者忌用；外感痰热咳喘者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/洋金花.md
39,白果,化痰止咳平喘药,止咳平喘药,,敛肺定喘、止带缩尿为要,甘、苦、涩，平；有毒,肺、肾经,敛肺定喘；止带缩尿,哮喘痰嗽；带下白浊；遗尿尿频,煎服，5～10g，捣碎,有毒，生食易中毒，不可过量；咳嗽痰稠不利者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/白果.md
40,百部,化痰止咳平喘药,止咳平喘药,,润肺下气止咳、杀虫灭虱为要,甘、苦，微温,肺经,润肺下气止咳；杀虫灭虱,新久咳嗽，百日咳，肺痨咳嗽；蛲虫病，头虱体虱（外用）,煎服，3～9g；蜜炙百部润肺止咳,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/百部.md
41,矮地茶,化痰止咳平喘药,止咳平喘药,,止咳平喘、清利湿热为要,辛、微苦，平,肺、肝经,止咳平喘；清利湿热；活血化瘀,咳嗽气喘；湿热黄疸；血瘀经闭，跌打损伤,煎服，10～30g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/矮地茶.md
42,紫苏子,化痰止咳平喘药,止咳平喘药,,降气化痰、止咳平喘为要,辛，温,肺、大肠经,降气化痰；止咳平喘；润肠通便,痰壅气逆，咳嗽气喘；肠燥便秘,煎服，3～10g,阴虚喘咳、脾虚便溏者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/紫苏子.md
43,紫菀,化痰止咳平喘药,止咳平喘药,,润肺下气、消痰止咳为要,苦、辛、甘，微温,肺经,润肺下气；消痰止咳,痰多喘咳，新久咳嗽，劳嗽咯血,煎服，5～10g；蜜炙用增强润肺止咳,阴虚火旺者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/紫菀.md
44,罗汉果,化痰止咳平喘药,止咳平喘药,,清热润肺、利咽开音为要,甘，凉,肺、大肠经,清热润肺；利咽开音；滑肠通便,肺热燥咳，咽痛失音；肠燥便秘,煎服或开水泡服，9～15g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/罗汉果.md
45,苦杏仁,化痰止咳平喘药,止咳平喘药,,降气止咳平喘、润肠通便为要,苦，微温；有小毒,肺、大肠经,降气止咳平喘；润肠通便,咳嗽气喘，胸满痰多；肠燥便秘,煎服，5～10g，打碎后下,有小毒，用量不宜过大；阴虚咳喘、大便溏泄者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/苦杏仁.md
46,葶苈子,化痰止咳平喘药,止咳平喘药,,泻肺平喘、行水消肿为要,辛、苦，大寒,肺、膀胱经,泻肺平喘；行水消肿,痰涎壅肺，喘咳痰多，胸胁胀满；水肿，胸腹积水，小便不利,煎服，3～10g，包煎,肺虚喘咳、脾虚肿满者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/葶苈子.md
47,马兜铃,化痰止咳平喘药,止咳平喘药,,清肺降气、止咳平喘为要,苦，微寒,肺、大肠经,清肺降气；止咳平喘；清肠消痔,肺热咳喘，痰中带血；痔疮肿痛，肠热痔血,煎服，3～9g,含马兜铃酸，肾毒性大，内服宜慎、不宜过量久服；肾功能不全者禁用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/止咳平喘药/马兜铃.md
48,前胡,化痰止咳平喘药,清化热痰药,,降气化痰、散风清热为要,苦、辛，微寒,肺经,降气化痰；散风清热,痰热咳喘，痰黄黏稠；风热咳嗽痰多,煎服，3～10g,阴虚咳嗽、寒痰咳嗽者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/前胡.md
49,天竺黄,化痰止咳平喘药,清化热痰药,,清热豁痰、凉心定惊为要,甘，寒,心、肝经,清热豁痰；凉心定惊,热病神昏，中风痰迷；小儿痰热惊痫，夜啼,煎服，3～9g；研粉冲服，每次0.6～1g,寒痰者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/天竺黄.md
50,川贝母,化痰止咳平喘药,清化热痰药,,清热润肺、化痰止咳为要,苦、甘，微寒,肺、心经,清热润肺；化痰止咳；散结消痈,肺热燥咳，干咳少痰，阴虚劳嗽，咯痰带血；瘰疬、乳痈、肺痈,煎服，3～10g；研粉冲服，每次1～2g,不宜与乌头类同用；脾胃虚寒及痰湿盛者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/川贝母.md
51,昆布,化痰止咳平喘药,清化热痰药,,消痰软坚散结、利水消肿为要,咸，寒,肝、胃、肾经,消痰软坚散结；利水消肿,瘿瘤瘰疬，睾丸肿痛；痰饮水肿,煎服，6～12g,脾胃虚寒、便溏者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/昆布.md
52,桔梗,化痰止咳平喘药,清化热痰药,,宣肺、利咽为要,苦、辛，平,肺经,宣肺；利咽；祛痰；排脓,咳嗽痰多，胸闷不畅；咽喉肿痛，失音；肺痈吐脓,煎服，3～10g,阴虚久咳、气逆咯血者慎用；用量过大可致恶心呕吐,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/桔梗.md
53,浙贝母,化痰止咳平喘药,清化热痰药,,清热化痰止咳、解毒散结消痈为要,苦，寒,肺、心经,清热化痰止咳；解毒散结消痈,风热咳嗽，痰热咳嗽；瘰疬瘿瘤，乳痈疮毒，肺痈,煎服，5～10g,不宜与乌头类同用；寒痰、湿痰者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/浙贝母.md
54,海浮石,化痰止咳平喘药,清化热痰药,,清肺化痰、软坚散结为要,咸，寒,肺、肾经,清肺化痰；软坚散结；利尿通淋,痰热咳嗽；瘿瘤瘰疬；血淋，石淋,煎服，10～15g,脾胃虚寒者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/海浮石.md
55,海藻,化痰止咳平喘药,清化热痰药,,消痰软坚散结、利水消肿为要,苦、咸，寒,肝、胃、肾经,消痰软坚散结；利水消肿,瘿瘤瘰疬，睾丸肿痛；痰饮水肿,煎服，6～12g,不宜与甘草同用；脾胃虚寒者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/海藻.md
56,海蛤壳,化痰止咳平喘药,清化热痰药,,清热化痰、软坚散结为要,苦、咸，寒,肺、胃经,清热化痰；软坚散结；制酸止痛；外用收湿敛疮,痰热咳嗽，痰黄黏稠；瘿瘤瘰疬；胃痛泛酸；湿疹烫伤（外用）,煎服，6～15g，蛤粉宜包煎；外用适量,脾胃虚寒者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/海蛤壳.md
57,瓜蒌,化痰止咳平喘药,清化热痰药,,清热涤痰、宽胸散结为要,甘、微苦，寒,肺、胃、大肠经,清热涤痰；宽胸散结；润燥滑肠,痰热咳嗽，燥咳痰黏；胸痹心痛，结胸痞满；乳痈、肺痈、肠痈；肠燥便秘,煎服，9～15g；全瓜蒌、瓜蒌皮、瓜蒌仁功效各异,不宜与乌头类同用；脾虚便溏者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/瓜蒌.md
58,瓦楞子,化痰止咳平喘药,清化热痰药,,消痰化瘀、软坚散结为要,咸，平,肺、胃、肝经,消痰化瘀；软坚散结；制酸止痛,顽痰胶结，瘿瘤瘰疬，癥瘕痞块；胃痛泛酸,煎服，9～15g，先煎；研末服，每次1～3g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/瓦楞子.md
59,礞石,化痰止咳平喘药,清化热痰药,,坠痰下气、平肝镇惊为要,甘、咸，平,肺、心、肝经,坠痰下气；平肝镇惊,顽痰胶结，咳逆喘急；癫狂惊痫，烦躁胸闷,入丸散，3～6g；煎服，10～15g，布包先煎,孕妇及脾胃虚弱者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/礞石.md
60,竹沥,化痰止咳平喘药,清化热痰药,,清热豁痰、定惊利窍为要,甘，寒,心、肺、肝经,清热豁痰；定惊利窍,痰热咳嗽，痰黄黏稠难咯；中风痰迷，惊痫癫狂,冲服，30～50ml；入丸剂,寒痰、便溏者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/竹沥.md
61,竹茹,化痰止咳平喘药,清化热痰药,,清热化痰、除烦止呕为要,甘，微寒,肺、胃、心、胆经,清热化痰；除烦止呕,痰热咳嗽，痰黄黏稠；心烦不眠；胃热呕吐，妊娠恶阻；吐血衄血,煎服，5～10g；除烦止呕宜姜汁炙用,胃寒呕吐、寒痰者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/竹茹.md
62,胖大海,化痰止咳平喘药,清化热痰药,,清热润肺、利咽开音为要,甘，寒,肺、大肠经,清热润肺；利咽开音；润肠通便,肺热声哑，咽喉干痛，干咳无痰；热结便秘,沸水泡服或煎服，2～4枚,脾胃虚寒、便溏者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/胖大海.md
63,黄药子,化痰止咳平喘药,清化热痰药,,化痰散结消瘿、清热解毒为要,苦，寒；有毒,肺、肝、心经,化痰散结消瘿；清热解毒,瘿瘤瘰疬；疮疡肿毒，咽喉肿痛，毒蛇咬伤,煎服，5～15g；外用适量,有毒，不宜过量久服；肝肾功能不全者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/清化热痰药/黄药子.md
64,半夏,化痰止咳平喘药,温化寒痰药,,燥湿化痰、降逆止呕为要,辛，温；有毒,脾、胃、肺经,燥湿化痰；降逆止呕；消痞散结；外用消肿止痛,湿痰寒痰，咳喘痰多；呕吐反胃；胸脘痞闷，梅核气；瘿瘤痰核，痈疽肿毒（外用）,煎服，3～9g；内服须炮制（法半夏、姜半夏等）；生品外用适量,有毒，阴虚燥咳、血证、热痰燥痰者慎用；不宜与乌头类同用；孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/温化寒痰药/半夏.md
65,天南星,化痰止咳平喘药,温化寒痰药,,燥湿化痰、祛风止痉为要,苦、辛，温；有毒,肺、肝、脾经,燥湿化痰；祛风止痉；外用散结消肿,顽痰咳嗽，风痰眩晕，中风痰壅，癫痫惊风；破伤风；痈肿痰核（外用）,煎服，3～9g（制用）；生品外用适量,有毒，孕妇忌用；阴虚燥痰者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/温化寒痰药/天南星.md
66,旋覆花,化痰止咳平喘药,温化寒痰药,,降气化痰、降逆止呕为要,苦、辛、咸，微温,肺、脾、胃、大肠经,降气化痰；降逆止呕,痰涎壅肺，咳喘痰多；痰饮蓄结，胸膈痞闷；噫气、呕吐,煎服，3～9g，包煎,阴虚劳嗽、津伤燥咳者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/温化寒痰药/旋覆花.md
67,猫爪草,化痰止咳平喘药,温化寒痰药,,化痰散结、解毒消肿为要,甘、辛，温,肝、肺经,化痰散结；解毒消肿,瘰疬痰核，疔疮肿毒，蛇虫咬伤,煎服，15～30g；外用适量,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/温化寒痰药/猫爪草.md
68,白前,化痰止咳平喘药,温化寒痰药,,降气、消痰为要,辛、苦，微温,肺经,降气；消痰；止咳,肺气壅实，咳嗽痰多，胸满喘急,煎服，3～10g,阴虚火旺、肺肾气虚者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/温化寒痰药/白前.md
69,白芥子,化痰止咳平喘药,温化寒痰药,,温肺化痰、利气散结为要,辛，温,肺、胃经,温肺化痰；利气散结；通络止痛,寒痰喘咳，悬饮胸胁胀痛；痰滞经络，肢体麻木疼痛；阴疽流注,煎服，3～6g；外用适量,外敷易起泡；肺虚久咳、阴虚火旺者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/温化寒痰药/白芥子.md
